id,submission_id,disputed_by,resolved_by,created_at,resolved_at,status,reason,resolution_notes,attachment_url
1,3,18,null,11/5/2025 4:56:26 PM,11/6/2025 5:08:03 PM,ADJUSTED,"Did the CSR complete CRM actions in a prompt timeframe? Initially, the Customer had a lot of questions regarding contacts and requested making changes to the account. The Customer provided me with an updated payment method and billing address. Ashley also expressed an interest in reactivating her service, there were multiple requests during this phone call. What is the expectation regarding time frame in this situation? ","I adjusted the score regarding the timeframe, as I was actively assisting the CSR with this customer via Teams. All remaining items have been reviewed and verified for accuracy. The original score of 77.29% has been updated to reflect this clarification.""",null
2,11,20,null,11/6/2025 1:28:51 PM,11/6/2025 4:54:25 PM,REJECTED,I don't see the scripting that was missed and I'm not sure what KB page I would need up for this call,"In the KB when adding a new billing group, it requires the CSR to talk about the portal, and the script is in the following KB page: http://know.crm.dm-us.com/books/job-billing-customer-service/page/how-to-add-a-new-billing-group",null
3,14,23,null,11/6/2025 2:38:44 PM,11/6/2025 4:28:38 PM,ADJUSTED,"Was an accurate order number entered? No point in the interaction where a order number was needed , or discussed",There was an error in the conditional logic. That question should not have applied to this call. I gave you credit for the questions so it wouldn't lower your score. The original score was 96.53%. Score has been updated.,null
4,15,13,null,11/6/2025 7:10:10 PM,11/6/2025 8:59:34 PM,REJECTED,"Call was disconnected, not enough data to grade interaction. ","The score remains unchanged. The agent accepted the call but did not adhere to the established Requirements Following an Unexpected Disconnection outlined in KB. As a result, all call requirements were missed from the point of disconnection, which in this instance occurred at the very start of the call. Additionally, there was no documented attempt to return the call.- http://know.crm.dm-us.com/books/phone-etiquette-tickets-and-tasks/page/requirements-following-an-unexpected-disconnection",null
5,37,20,null,11/6/2025 8:25:56 PM,11/6/2025 8:59:05 PM,ADJUSTED,Why am I getting dinged twice for missing the script in two different sections for the same thing? That seems like it's designed to hurt those who don't use the scripts robotically. Take one or the other off.,"Scripts are required. The script was clearly not used. That said, I agree you were penalized twice for the same error. The Agent Communication - Other Than Appropriate Contact error has been removed. Prior score was 81.02%.",null
6,39,22,null,11/6/2025 9:44:56 PM,11/7/2025 4:27:54 PM,REJECTED,"For this customer the correct script was used when speaking with this customer , documentation to notes were updated correctly after speaking with cx , there was no need to call the google contact at this time because contact was made with the poc , which was documented , please review call. ","The score remains unchanged following the review.

During the call to the billing contact, the representative reached an individual who was not the billing contact, and the required message script for “Customer Not Available” was not used, as outlined in the process documented in KB Article: Declined Credit Card Call Script
.

Additionally, when contacting the Google-listed number, the representative should have left a voicemail in accordance with the policy described in Methods for Making Contact
, specifically under the scenario “Different number reaches a similar voicemail system/automated system.”

As a result, required call procedures were not followed, and the audit score remains as originally assessed.",null
7,45,25,null,11/7/2025 2:14:57 PM,11/7/2025 8:20:02 PM,ADJUSTED,"Seeking clarity on the question: Did the agent use the CRM and Knowledge Base correctly? - No -:  Seeking clarity on how CRM can be used incorrectly and my transcript matches approach 1 for this scenario. 

Thank you in advance for reviewing. ","I adjusted the score regarding the use of CRM and Knowledge Base correctly after call and ticket documentation review. The original score was 93.23%. Score has been updated.

",/uploads/disputes/attachment-1762524896975-437224133.png
8,40,19,null,11/7/2025 2:34:14 PM,11/7/2025 5:16:04 PM,REJECTED,Google number leads back to billing contact #,"The score remains unchanged following the review. When contacting the Google-listed number, the representative should have left a voicemail using the Google contact script, in accordance with the policy outlined in Methods for Making Contact. As a result, the required process was not followed, and the audit score remains as originally assessed. - - http://know.crm.dm-us.com/books/job-billing-customer-service/page/methods-for-making-contact",null
9,44,12,null,11/7/2025 2:49:19 PM,11/7/2025 8:01:58 PM,REJECTED,"Was the contact set accurately? This ticket was originally assigned to Linda as she sent us the email for this issue
Linda told the contact Larry to call us. Checked with Ian and was told to dispute as this is attached to the OG contact.

Was the ticket notes field completed properly?
All notes were left to properly show what steps were taken
No steps were missed in documentation
","The score remains unchanged following the review.
Agent did not follow our contact management policy regarding adding the new contact, as outlined in the Contact Management Guide under the scenario “When should a new contact be added to an account?” - http://know.crm.dm-us.com/books/general-support-instructions/page/contact-management-guide
Agent did  not follow our ticket policy regarding assigning the proper contact to the ticket when it needed to be updated, referenced in Ticket Overview & Definitions under the Contacts section - http://know.crm.dm-us.com/books/job-billing-customer-service/page/ticket-overview-definitions
Agent did not follow our documentation policy because she needed to note that the call was disconnected and a return call was made, in accordance with the policy described in Requirements Following an Unexpected Disconnection - http://know.crm.dm-us.com/books/phone-etiquette-tickets-and-tasks/page/requirements-following-an-unexpected-disconnection
As a result, required call processes were not fully followed, and the audit score remains as originally assessed.
",null
10,58,18,null,11/7/2025 8:38:28 PM,11/10/2025 7:14:31 PM,REJECTED,There was no Google contact that could be found and contacted for an alternate (Google) contact script to be applied to.,"The score remains unchanged following the review. When completing Google research, if there are multiple sites, this should be done for each site affected by the potential service cancellation, the representative should have left a voicemail using the Google contact script for each location on the invoice, in accordance with the policy outlined in Methods for Making Contact. As a result, the required process was not followed, and the audit score remains as originally assessed. - http://know.crm.dm-us.com/books/job-billing-customer-service/page/methods-for-making-contact
",null
