id,category_id,question_text,question_type,weight,sort_order,scale_min,scale_max,is_na_allowed,yes_value,no_value,na_value,visible_to_csr
3192,406,Methods of Contact,SUB_CATEGORY,1.0,0,1,5,0,1,0,0,1
3193,406,What type of ticket or task was the contact attempt related to?,RADIO,1.0,1,1,5,0,1,0,0,1
3194,406,Task Contact,SUB_CATEGORY,1.0,2,1,5,0,1,0,0,1
3195,406,Did the agent attempt to leave a voicemail/message with the ticket/task contact?,YES_NO,1.0,3,1,5,0,1,0,0,1
3196,406,Was the proper script followed when leaving a voicemail/message for the ticket/task contact?,YES_NO,1.0,4,1,5,0,1,0,0,1
3197,406,Main Contact,SUB_CATEGORY,1.0,5,1,5,0,1,0,0,1
3198,406,Does policy require attempting to contact the main contact (name/phone number is different than the task contact)?,YES_NO,1.0,6,1,5,0,0,0,0,1
3199,406,Did the agent attempt to leave a voicemail/message with the main account contact?,YES_NO,1.0,7,1,5,0,1,0,0,1
3200,406,Did the agent attempt to leave a voicemail/message with the main account contact?,YES_NO,1.0,8,1,5,1,1,0,0,1
3201,406,Site Contacts,SUB_CATEGORY,1.0,9,1,5,0,1,0,0,1
3202,406,Does policy require attempting to contact the site contact(s) (name/phone number is different then the main or task contact)?,YES_NO,1.0,10,1,5,0,0,0,0,1
3203,406,Did the agent attempt to leave a voicemail/message with EVERY site contact associated with the sites on the invoice?,YES_NO,1.0,11,1,5,0,1,0,0,1
3204,406,Was the proper script followed when leaving a voicemail/message for the site contact?,YES_NO,1.0,12,1,5,1,1,0,0,1
3205,406,Google Research,SUB_CATEGORY,1.0,13,1,5,0,1,0,0,1
3206,406,Does policy require trying to find an alternate phone number by googling the site name(s) and line 1 of the site address(es)?,YES_NO,1.0,14,1,5,0,0,0,0,1
3207,406,Were any additional numbers found that could be called?,YES_NO,1.0,15,1,5,0,0,0,0,1
3208,406,Did the agent attempt to leave a voicemail/message with one of the Google contacts?,YES_NO,1.0,16,1,5,0,1,0,0,1
3209,406,Was the proper script followed when leaving a voicemail/message for the Google contact?,YES_NO,1.0,17,1,5,1,1,0,0,1
3210,406,Exit Survey,SUB_CATEGORY,1.0,18,1,5,0,1,0,0,1
3211,406,Did the agent follow the Exit Survey call cadence?,YES_NO,1.0,19,1,5,0,1,0,0,1
3212,406,Did the agent leave a voicemail/message for the Exit Survey task contact?,YES_NO,1.0,20,1,5,0,1,0,0,1
3213,406,Was the proper script followed when leaving a voicemail/message for the Exit Survey task contact?,YES_NO,1.0,21,1,5,0,1,0,0,1
3214,406,Hold to Activate,SUB_CATEGORY,1.0,22,1,5,0,1,0,0,1
3215,406,Did the agent follow policy on Hold to Activate call cadence?,YES_NO,1.0,23,1,5,0,1,0,0,1
3216,406,Did the agent leave a voicemail/message for the Hold to Activate task contact?,YES_NO,1.0,24,1,5,0,1,0,0,1
3217,406,Was the proper script followed when leaving a voicemail/message for the Hold to Activate task contact?,YES_NO,1.0,25,1,5,1,1,0,0,1
3218,406,Tickets,SUB_CATEGORY,1.0,26,1,5,0,1,0,0,1
3219,406,Did the agent follow policy on ticket call cadence?,YES_NO,1.0,27,1,5,0,1,0,0,1
3220,406,Did the agent leave a voicemail/message for the ticket contact?,YES_NO,1.0,28,1,5,0,1,0,0,1
3221,406,Was the proper script followed when leaving a voicemail/message for the ticket contact?,YES_NO,1.0,29,1,5,1,1,0,0,1
3222,406,Methods of Contact Pass/Fail,SUB_CATEGORY,1.0,30,1,5,0,1,0,0,1
3223,406,"Overall, did the agent miss any Methods of Contact steps?",YES_NO,1.0,31,1,5,0,0,0,0,1
3224,406,Methods of Contact Feedback,TEXT,1.0,32,1,5,0,1,0,0,0
3225,407,Agent Communication - Other Than Appropriate Contact,SUB_CATEGORY,1.0,0,1,5,0,1,0,0,1
3226,407,Did the agent communicate with someone to reach the appropriate billing contact? ,YES_NO,1.0,1,1,5,0,0,0,0,1
3227,407,Did the agent follow the script when communicating with someone to reach the appropriate billing contact?,YES_NO,1.0,2,1,5,0,1,0,0,1
3228,407,Contact Addition,SUB_CATEGORY,1.0,3,1,5,0,1,0,0,1
3229,407,Was a contact addition needed?,YES_NO,1.0,4,1,5,0,0,0,0,1
3230,407,Did the agent add the new contact(s) to the CRM?,YES_NO,1.0,5,1,5,0,1,0,0,1
3231,407,Contact Removal,SUB_CATEGORY,1.0,6,1,5,0,1,0,0,1
3232,407,Was contact removal needed?,YES_NO,1.0,7,1,5,0,0,0,0,1
3233,407,Were the appropriate contact(s) set as inactive?,YES_NO,1.0,8,1,5,0,1,0,0,1
3234,407,Contact Assignment,SUB_CATEGORY,1.0,9,1,5,0,1,0,0,1
3235,407,Was contact assignment needed?,YES_NO,1.0,10,1,5,0,0,0,0,1
3236,407,Were the contact(s) assigned properly?,YES_NO,1.0,11,1,5,0,1,0,0,1
